,Delta,Energy,Delta E
59,0.5912780179590351,-3.882,0.0019999999999997797
60,0.5910752903644302,-3.88,0.002000000000000224
61,0.5908724042457116,-3.878,0.0019999999999997797
62,0.5906693591455585,-3.876,0.002000000000000224
63,0.5904661546102046,-3.874,0.0019999999999997797
64,0.5902627901822972,-3.872,0.002000000000000224
65,0.5900592654019537,-3.87,0.0019999999999997797
66,0.5898555798062235,-3.868,0.002000000000000224
67,0.5896517329365618,-3.866,0.0019999999999997797
68,0.5894477243218084,-3.864,0.002000000000000224
69,0.5892435534958991,-3.862,0.0019999999999997797
70,0.589039219989382,-3.86,0.002000000000000224
71,0.5888347233299903,-3.858,0.0019999999999997797
72,0.5886300630457764,-3.856,0.002000000000000224
73,0.5884252386567748,-3.854,0.0019999999999997797
74,0.5882202496849884,-3.852,0.002000000000000224
75,0.5880150956533443,-3.85,0.0019999999999997797
76,0.5878097760777141,-3.848,0.002000000000000224
77,0.5876042904732697,-3.846,0.0019999999999997797
78,0.5873986383552054,-3.844,0.002000000000000224
79,0.5871928192305702,-3.842,0.0019999999999997797
80,0.5869868326101355,-3.84,0.002000000000000224
81,0.5867806780001558,-3.838,0.0019999999999997797
82,0.5865743549051927,-3.836,0.002000000000000224
83,0.5863678628256516,-3.834,0.0019999999999997797
84,0.5861612012667909,-3.832,0.002000000000000224
85,0.5859543697203042,-3.83,0.0019999999999997797
86,0.5857473676836789,-3.828,0.002000000000000224
87,0.5855401946499208,-3.826,0.0019999999999997797
88,0.5853328501097967,-3.824,0.002000000000000224
89,0.5851253335533035,-3.822,0.0019999999999997797
90,0.5849176444629497,-3.82,0.002000000000000224
91,0.5847097823244348,-3.818,0.0019999999999997797
92,0.5845017466174653,-3.816,0.002000000000000224
93,0.5842935368242572,-3.814,0.0019999999999997797
94,0.5840851524199292,-3.812,0.002000000000000224
95,0.5838765928804335,-3.81,0.0019999999999997797
96,0.5836678576740204,-3.808,0.002000000000000224
97,0.5834589462715332,-3.806,0.0019999999999997797
98,0.5832498581405907,-3.804,0.002000000000000224
99,0.5830405927452311,-3.802,0.0019999999999997797
100,0.5828311495458356,-3.8,0.002000000000000224
101,0.5826215280073924,-3.798,0.0019999999999997797
102,0.5824117275813705,-3.796,0.002000000000000224
103,0.5822017477243381,-3.794,0.0019999999999997797
104,0.5819915878881416,-3.792,0.002000000000000224
105,0.5817812475222157,-3.79,0.0019999999999997797
106,0.5815707260755436,-3.788,0.002000000000000224
107,0.5813600229886782,-3.786,0.0019999999999997797
108,0.5811491377050024,-3.784,0.002000000000000224
109,0.5809380696625805,-3.782,0.0019999999999997797
110,0.580726818300573,-3.78,0.002000000000000224
111,0.580515383051538,-3.778,0.0019999999999997797
112,0.58030376334884,-3.776,0.002000000000000224
113,0.5800919586168524,-3.774,0.0019999999999997797
114,0.5798799682835751,-3.772,0.002000000000000224
115,0.5796677917721671,-3.77,0.0019999999999997797
116,0.5794554285030513,-3.768,0.002000000000000224
117,0.5792428778922655,-3.766,0.0019999999999997797
118,0.5790301393606028,-3.764,0.002000000000000224
119,0.578817212313961,-3.762,0.0019999999999997797
120,0.5786040961642558,-3.76,0.002000000000000224
121,0.5783907903181527,-3.758,0.0019999999999997797
122,0.5781772941789726,-3.7560000000000002,0.0019999999999997797
123,0.5779636071502379,-3.754,0.002000000000000224
124,0.5777497286258544,-3.752,0.002000000000000224
